Tree.ONC,Geno.ONC,T.Cov.ONC,Rough.ONC,CT.ONC
N4-24,10,4.63,25,3.38
N5-17,10,3.15,11.25,3.07
N6-10,10,3.25,9,2.66
N7-10,10,7.75,25,3.04
N1-36,11,0.09,13.75,2.21
N2-33,11,12.25,40,1.64
N2-35,11,5.63,63.75,2.2
N3-02,11,2,34.25,2.06
N4-30,11,6.09,51.25,1.9
N1-10,996,2.25,18.75,2.43
N1-34,996,2.05,16.25,1.83
N2-04,996,6.13,20,1.74
N2-10,996,0.09,10,0.96
N2-16,996,11.06,36.25,1.16
N2-29,996,0.63,28.75,
N3-27,996,1.28,9.75,1.28
N3-32,996,0.08,28.75,1.8
N6-17,996,0.09,16.75,1.73
N1-28,999,0.31,32.5,9.75
N4-26,999,4.5,35,3.57
N5-26,999,0.05,41.25,4.19
N5-05,1005,4.75,27.5,2.26
N5-12,1005,22.75,36.25,1.5
N5-13,1005,6.38,27.5,15.88
N6-06,1005,27,57.5,1.87
N3-03,1007,0.96,18.75,1.22
N3-31,1007,0.38,17.5,2.49
N4-18,1007,1.25,20,1.73
N1-31,1008,0.31,13.75,2.78
N2-25,1008,0.84,15,2.63
N3-17,1008,0.9,22.5,2.35
N3-22,1008,1.56,18.75,2.91
N4-14,1008,3.06,11.5,1.7
N5-02,1008,10.75,18.75,2.54
N6-09,1008,3.78,3.75,1.88
N7-03,1008,18.75,42.5,3.2
N2-11,1012,1.13,26.25,1.63
N2-17,1012,7.5,38.75,2.95
N2-20,1012,14.75,25,1.24
N2-45,1012,9.81,61.25,1.58
N1-04,1017,15.13,72.5,2.77
N1-08,1017,3.05,42.5,2.07
N1-16,1017,13,66.25,2.64
N1-20,1017,19.13,31.25,1.91
N1-24,1017,32.25,35,1.75
N2-03,1017,5.31,48.75,1.96
N2-15,1017,25.75,56.25,1.55
N3-13,1017,10.13,53.75,2.05
N1-27,1023,0.81,42.5,3.95
N2-12,1023,5.38,51.25,2.33
N2-14,1023,3.25,50,2.34
N4-20,1023,22.75,25,3.39
N1-29,EC1,1.69,48.75,1.55
N5-15,EC1,17.5,43.75,2.79
N6-19,EC1,0.78,18.75,2.52
N4-16,H10,16.81,57.5,2.95
N6-04,H10,26.38,20,3.37
N7-07,H10,13,58.75,2.48
N6-07,HE10,23.75,41.25,2.13
N7-14,HE10,12.5,26.25,1.66
N1-40,RL6,0.24,60,2.76
N2-44,RL6,11.38,81.25,3.37
N6-16,RL6,10.25,45,4.16
N4-04,RM2,6.78,26.25,2.01
N6-12,RM2,16.03,30,6.06
N7-19,RM2,2.5,41.25,1.54
N2-27 ,T15,1.25,20,
N2-37,T15,2.28,26.25,2.42
N4-17,T15,3.25,12.5,2.42
N1-05,T6,17.75,61.25,
N1-07,T6,5.63,60,1.93
N1-11,T6,25.03,82.5,2.46
N2-28,WC5,4.5,65,3.49
N2-31,WC5,7.81,40,2.78
N4-12,WC5,10.25,31.25,2.71
N7-08,WC5,15,22.5,3.35